character,universe,gender
chameleon_collie,earth_one,female
chaq,new_earth,male
charis_nar,new_earth,male
charis_nar,prime_earth,male
chaselon,dc_animated_movie_universe,male
chaselon,duck_dodgers,male
chaselon,new_earth,male
chey_nu,pre_zero_hour,male
chronar,new_earth,male
chrysalis_hunter,teen_titans_tv_series,female
chthos_chthas_chthatis,new_earth,male
chun_yull,new_earth,male
chun_yull,prime_earth,male
clonus,pre_zero_hour,male
cobi,new_earth,male
cobi,prime_earth,male
crystallar,earth_two,male
dag_wentim,pre_zero_hour,male
dark_angel,new_earth,female
dark_heart,dcau,genderless
darlene_spritzer,new_earth,female
dartalg,pre_zero_hour,male
darthartheen,new_earth,female
dawg,new_earth,male
dawg,prime_earth,male
dawlakispokpok,new_earth,male
dawnstar,pre_zero_hour,female
dawnstar_gr_ell,post_rebirth,female
deathspawn,earth_2,male
dennap,new_earth,female
deraegis,new_earth,male
desira,earth_two,female
despera,future_state,female
despero,dcau,male
despero,earth_16,male
despero,earth_5_8,male
despero,new_earth,male
despero,prime_earth,male
despotellis,new_earth,genderless
doomsday,flashpoint_timeline,male
doomsday,injustice,male
doomsday,tiny_titans,male
doranchatok,new_earth,male
draaga,new_earth,male
drura_sehpt,post_zero_hour,female
drura_sehpt,pre_zero_hour,female
el,the_coming_of_the_supermen,male
elvo,pre_zero_hour,male
entropy,prime_earth,genderless
eris,harley_quinn_tv_series,female
ernest_widdle,new_earth,male
evane,dakotaverse,female
exploder,earth_one,male
faern,new_earth,female
fenris,new_earth,male
first_of_the_fallen,arrowverse,male
first_of_the_fallen,new_earth,male
first_of_the_fallen,prime_earth,male
flamina,earth_two,female
forager,earth_16,male
furcifer,arrowverse,male
g_hu,new_earth,male
g_nort,duck_dodgers,male
g_nort,new_earth,male
g_nort,prime_earth,male
g_nort,the_brave_and_the_bold,male
g_nort,tiny_titans,male
galius_zed,dc_animated_movie_universe,male
galius_zed,duck_dodgers,male
galius_zed,new_earth,male
galius_zed,tiny_titans,male
gall,prime_earth,male
ganglios,pre_zero_hour,male
ganthet,injustice,male
ganthet,new_earth,male
garryn_bek,new_earth,male
garth_ranzz,dcau,male
garth_ranzz,sw6,male
garth_ranzz,tiny_titans,male
garv,new_earth,male
gary_green,arrowverse,male
gavyn,dcau,male
gavyn,new_earth,male
gleek,prime_earth,male
gleek,super_friends,male
gleen,new_earth,male
glomulus,dc_legends,male
glomulus,tiny_titans,male
glonth,new_earth,male
grava,pre_zero_hour,female
green_man,new_earth,male
gretti,dc_legends,male
grev_mallor,pre_zero_hour,male
guardian_of_the_river,teen_titans_tv_series,male
guardian_of_the_trees,teen_titans_tv_series,male
h_i_v_e_queen,prime_earth,female
halk_kar,earth_two,male
hannu,new_earth,male
harlak,pre_zero_hour,male
hawkgirl,lil_gotham,female
hellion,superboy_tv_series,male
herkimer,prime_earth,male
herkimer,scooby_doo_team_up,male
herkimer,the_brave_and_the_bold,male
hot_dog,earth_one,male
hot_dog,krypto_the_superdog,male
humre_durgo,pre_zero_hour,male
husque,new_earth,male
hyathis,new_earth,female
hywyndr,pre_zero_hour,male
ice_man,new_earth,male
imogen,arrowverse,female
imperator,wildstorm_universe,male
imra_ardeen,earth_prime,female
imra_ardeen,future_state,female
imra_ardeen,justice,female
imra_ardeen,lego_dc_heroes,female
imra_ardeen,sw6,female
imra_ardeen,tiny_titans,female
invictus,prime_earth,male
isamot_kol,emerald_knights,male
isamot_kol,first_flight,male
isamot_kol,injustice,male
isamot_kol,new_earth,male
itro,prime_earth,male
itty,new_earth,male
j_onn_j_onzz,amalgam_universe,male
jacob_grayson,the_new_order,male
james_olsen,earth_one,male
jan_arrah,future_state,male
jan_arrah,legion_of_super_heroes_tv_series,male
jan_arrah,post_rebirth,male
jan_arrah,pre_zero_hour,male
jan_arrah,sw6,male
jarro,prime_earth,genderless
jason_woodrue,dcau,male
jason_woodrue,earth_5_8,male
