character,universe,prop_count,page_length,gender
ares,dc_extended_universe,10,369898,male
ares,dcau,10,359982,male
ares,earth_1,11,370748,male
ares,earth_12,11,357566,male
ares,earth_86,9,360548,male
ares,injustice,11,371067,male
ares,new_earth,12,384571,male
ares,prime_earth,11,393075,male
ares,smallville,7,357177,male
ares,the_legend_of_wonder_woman,6,351047,male
ares,titans_tomorrow,11,354552,male
ares,wonder_woman_2_9_movie,13,366030,male
aresia,dcau,9,362444,female
areto,ame_comi,7,352098,female
areto,prime_earth,9,357732,female
argent,prime_earth,11,357415,male
arges,the_brave_and_the_bold,6,347011,male
argus,new_earth,5,352239,male
ariadne,earth_s,7,349993,female
ariadne_of_the_blue_guard,new_earth,10,359476,female
ariadne_pinxit,new_earth,9,351865,female
ariella_kent,new_earth,10,391013,female
aries,wildstorm_universe,10,355702,male
arion,prime_earth,7,405626,male
arisia_rrab,earth_1,7,361273,female
arisia_rrab,new_earth,11,374445,female
aristides_demetrios,new_earth,11,371933,male
aristides_demetrios,prime_earth,10,368116,male
ark,dark_multiverse,9,358153,male
arkady_duvall,dcau,5,352564,male
arkillo,dc_universe_online,8,360213,male
arkillo,lego_batman,10,370846,male
arkillo,new_earth,10,368517,male
arkillo,prime_earth,11,364734,male
arlette_st_george,earth_9,5,350156,female
arm_fall_off_boy,pre_zero_hour,8,352325,male
armageddon_iii,prime_earth,8,357644,female
armando_guitez,just_imagine,7,359677,male
armando_ramon,prime_earth,9,364391,male
armando_ramone,new_earth,11,353699,male
armek,new_earth,11,383796,male
armen_ikarus,prime_earth,11,381150,male
arn_digby,pre_zero_hour,5,348950,male
arni_ajar,prime_earth,8,360757,female
arnold_hugo,earth_5_8,10,356257,male
arnold_hugo,earth_one,9,359310,male
arnold_hugo,scooby_doo_team_up,10,360439,male
arnold_kaua,new_earth,5,355849,male
arnold_munro,new_earth,9,378172,male
arnold_nadakowski,earth_one,8,358999,male
arnold_porter,dakotaverse,8,366783,male
arnold_pruett,new_earth,9,357392,male
arnold_pruett,prime_earth,6,353698,male
arnold_stipple,wildstorm_universe,6,352842,male
arnus_ii,dakotaverse,9,374352,male
arous,prime_earth,9,355530,male
arrakhat,new_earth,6,357283,male
arson,prime_earth,6,349896,male
arson,wildstorm_universe,8,348349,male
artemis,dc_extended_universe,12,361944,female
artemis,earth_1,10,374522,female
artemis,earth_one,11,359608,female
artemis,flashpoint_paradox,11,354241,female
artemis,injustice,12,359187,female
artemis,mystik_u,8,351988,female
artemis,tempest_tossed,8,374688,female
artemis,the_legend_of_wonder_woman,5,349425,female
artemis,wildstorm_universe,8,360833,female
artemis,wonder_woman_2_9_movie,12,353794,female
artemis_goddess_of_the_hunt,dc_extended_universe,11,355012,female
artemis_goddess_of_the_hunt,new_earth,9,364061,female
artemis_of_bana_mighdall,dc_legends,13,364701,female
artemis_of_bana_mighdall,new_earth,13,388088,female
artemis_of_bana_mighdall,prime_earth,12,414921,female
artemis_of_bana_mighdall,superman_batman,9,351426,female
artemiz,new_earth,14,359159,female
arthur_curry,blackest_day,11,354021,male
arthur_curry,dc_animated_movie_universe,12,417454,male
arthur_curry,dc_bombshells,10,350987,male
arthur_curry,dc_extended_universe,11,400682,male
arthur_curry,dc_legends,14,363086,male
arthur_curry,dc_super_friends_web_series,13,358503,male
arthur_curry,dceased,11,364380,male
arthur_curry,earth_12,10,374360,male
arthur_curry,earth_149,15,362309,male
arthur_curry,earth_184,9,353803,male
arthur_curry,earth_21,8,358821,male
arthur_curry,earth_22,8,371769,male
arthur_curry,earth_42,6,351757,male
arthur_curry,earth_44,10,356861,male
arthur_curry,earth_5_8,11,370176,male
arthur_curry,filmation_adventures,12,360357,male
